Day of week;Day of month;Month ;Year;Hour;Appliances;lights;RH_1;RH_2;RH_3;RH_4;RH_5;RH_6;RH_7;RH_8;RH_9;RH_out;T1;T2;T3;T4;T5;T6;T7;T8;T9;T_out;Press_mm_hg;Windspeed;Visibility;Tdewpoint;
Δευτέρα;11;January;2016;17:00;60;30;47,60%;44,79%;44,73%;45,57%;55,20%;84,26%;41,63%;48,90%;45,53%;92,00%;19,89;19,20;19,79;19,00;17,17;7,03;17,20;18,20;17,03;6,60;733,5;7,00;63,00;5,30;
Δευτέρα;11;January;2016;17:10;60;30;46,69%;44,72%;44,79%;45,99%;55,20%;84,06%;41,56%;48,86%;45,56%;92,00%;19,89;19,20;19,79;19,00;17,17;6,83;17,20;18,20;17,07;6,48;733,6;6,67;59,17;5,20;
Δευτέρα;11;January;2016;17:20;50;30;46,30%;44,63%;44,93%;45,89%;55,09%;83,16%;41,43%;48,73%;45,50%;92,00%;19,89;19,20;19,79;18,93;17,17;6,56;17,20;18,20;17,00;6,37;733,7;6,33;55,33;5,10;
Δευτέρα;11;January;2016;17:30;50;40;46,07%;44,59%;45,00%;45,72%;55,09%;83,42%;41,29%;48,59%;45,40%;92,00%;19,89;19,20;19,79;18,89;17,17;6,43;17,13;18,10;17,00;6,25;733,7;6,00;51,50;5,00;
Δευτέρα;11;January;2016;17:40;60;40;46,33%;44,53%;45,00%;45,53%;55,09%;84,89%;41,23%;48,59%;45,40%;92,00%;19,89;19,20;19,79;18,89;17,20;6,37;17,20;18,10;17,00;6,13;733,8;5,67;47,67;4,90;
Δευτέρα;11;January;2016;17:50;50;40;46,03%;44,50%;44,93%;45,73%;55,03%;85,77%;41,26%;48,59%;45,29%;92,00%;19,89;19,20;19,79;18,89;17,13;6,30;17,13;18,10;17,00;6,02;734,0;5,33;43,83;4,80;
Δευτέρα;11;January;2016;18:00;60;50;45,77%;44,50%;44,90%;45,79%;54,97%;86,09%;41,20%;48,59%;45,29%;92,00%;19,89;19,20;19,79;18,89;17,10;6,26;17,13;18,10;17,00;5,90;734,1;5,00;40,00;4,70;
Δευτέρα;11;January;2016;18:10;60;50;45,56%;44,50%;44,90%;45,86%;54,90%;86,42%;41,20%;48,59%;45,29%;91,83%;19,86;19,20;19,73;18,89;17,10;6,19;17,10;18,10;17,00;5,92;734,1;5,17;40,00;4,68;
Δευτέρα;11;January;2016;18:20;60;40;45,60%;44,43%;44,79%;45,79%;55,00%;87,23%;41,40%;48,59%;45,29%;91,67%;19,79;19,20;19,73;18,89;17,17;6,12;17,17;18,10;17,00;5,93;734,2;5,33;40,00;4,67;
Δευτέρα;11;January;2016;18:30;70;40;46,09%;44,40%;44,86%;46,10%;55,00%;87,63%;41,50%;48,59%;45,29%;91,50%;19,86;19,23;19,79;18,89;17,10;6,19;17,20;18,10;17,00;5,95;734,2;5,50;40,00;4,65;
Δευτέρα;11;January;2016;18:40;230;70;45,86%;44,40%;44,90%;46,43%;55,00%;87,87%;42,72%;48,59%;45,29%;91,33%;19,93;19,36;19,79;18,89;17,10;6,19;17,25;18,10;17,00;5,97;734,3;5,67;40,00;4,63;
Δευτέρα;11;January;2016;18:50;580;60;46,40%;44,40%;44,83%;46,43%;55,00%;87,99%;44,26%;48,63%;45,29%;91,17%;20,07;19,43;19,79;19,00;17,10;6,12;17,53;18,07;16,89;5,98;734,4;5,83;40,00;4,62;
Δευτέρα;11;January;2016;19:00;430;50;48,00%;44,40%;44,90%;46,36%;55,09%;88,59%;45,49%;48,56%;45,29%;91,00%;20,13;19,57;19,89;19,00;17,10;6,12;17,82;18,07;16,96;6,00;734,5;6,00;40,00;4,60;
